,data_type,s_rank,num_data_points,1,2,3,4,5,6,7,8,9,10,11,12
0,random,1,1,nelder_mead,dual_annealing,bfgs,powell,diff_evolution,slsqp,cobyla,rmsprop,adam,genetic_algorithm,particle_swarm,sgd
1,random,1,2,dual_annealing,diff_evolution,genetic_algorithm,particle_swarm,bfgs,rmsprop,powell,cobyla,slsqp,nelder_mead,adam,sgd
2,random,1,3,diff_evolution,dual_annealing,particle_swarm,genetic_algorithm,bfgs,nelder_mead,cobyla,slsqp,powell,rmsprop,adam,sgd
3,random,1,4,dual_annealing,diff_evolution,rmsprop,nelder_mead,cobyla,powell,particle_swarm,genetic_algorithm,slsqp,bfgs,adam,sgd
4,random,2,1,bfgs,dual_annealing,powell,nelder_mead,slsqp,diff_evolution,rmsprop,adam,cobyla,genetic_algorithm,particle_swarm,sgd
5,random,2,2,dual_annealing,rmsprop,diff_evolution,cobyla,adam,slsqp,bfgs,nelder_mead,genetic_algorithm,powell,particle_swarm,sgd
6,random,2,3,dual_annealing,diff_evolution,genetic_algorithm,bfgs,slsqp,rmsprop,particle_swarm,cobyla,nelder_mead,adam,powell,sgd
7,random,2,4,diff_evolution,dual_annealing,powell,genetic_algorithm,particle_swarm,cobyla,nelder_mead,adam,rmsprop,bfgs,slsqp,sgd
8,random,3,1,nelder_mead,dual_annealing,bfgs,rmsprop,diff_evolution,adam,cobyla,powell,genetic_algorithm,slsqp,particle_swarm,sgd
9,random,3,2,diff_evolution,dual_annealing,bfgs,nelder_mead,rmsprop,cobyla,slsqp,adam,genetic_algorithm,powell,particle_swarm,sgd
10,random,3,3,dual_annealing,diff_evolution,nelder_mead,particle_swarm,genetic_algorithm,cobyla,rmsprop,adam,bfgs,slsqp,powell,sgd
11,random,3,4,dual_annealing,diff_evolution,nelder_mead,bfgs,particle_swarm,slsqp,cobyla,rmsprop,genetic_algorithm,adam,powell,sgd
12,random,4,1,dual_annealing,diff_evolution,nelder_mead,bfgs,adam,slsqp,rmsprop,powell,cobyla,genetic_algorithm,particle_swarm,sgd
13,random,4,2,dual_annealing,diff_evolution,particle_swarm,genetic_algorithm,adam,rmsprop,powell,cobyla,slsqp,nelder_mead,bfgs,sgd
14,random,4,3,dual_annealing,diff_evolution,particle_swarm,genetic_algorithm,nelder_mead,cobyla,rmsprop,adam,powell,bfgs,slsqp,sgd
15,random,4,4,dual_annealing,diff_evolution,particle_swarm,genetic_algorithm,powell,cobyla,nelder_mead,bfgs,adam,slsqp,rmsprop,sgd
16,orthogonal,1,1,nelder_mead,bfgs,dual_annealing,cobyla,diff_evolution,powell,adam,slsqp,rmsprop,genetic_algorithm,particle_swarm,sgd
17,orthogonal,1,2,dual_annealing,diff_evolution,rmsprop,nelder_mead,bfgs,slsqp,adam,particle_swarm,genetic_algorithm,powell,cobyla,sgd
18,orthogonal,1,3,dual_annealing,diff_evolution,particle_swarm,genetic_algorithm,bfgs,nelder_mead,cobyla,rmsprop,powell,adam,slsqp,sgd
19,orthogonal,1,4,dual_annealing,diff_evolution,particle_swarm,genetic_algorithm,adam,nelder_mead,rmsprop,bfgs,slsqp,cobyla,powell,sgd
20,orthogonal,2,1,nelder_mead,bfgs,powell,diff_evolution,dual_annealing,rmsprop,cobyla,slsqp,adam,genetic_algorithm,particle_swarm,sgd
